name,primary_category,country_code,funding_total_usd,funding_rounds,status,failed,startup_age_years,founded_year
Exo Labs,Education,USA,2982410.0,3,operating,0,15.0,2011.0
eXo,Collaboration,USA,7242588.0,3,operating,0,23.0,2003.0
EXO5,Security,USA,450000.0,1,operating,0,20.0,2006.0
Exodos Life Science Partners,Biotechnology,USA,2448799.0,3,operating,0,17.0,2009.0
Exodus Payment Systems,Software,USA,987083.0,2,operating,0,17.0,2009.0
Exogenus Therapeutics,Biotechnology,PRT,113106.0,1,operating,0,11.0,2015.0
Exoprise,Cloud Management,USA,4625089.0,2,operating,0,17.0,2009.0
Exos,Biotechnology,USA,1125000.0,2,acquired,0,19.0,2007.0
Exosect,Biotechnology,GBR,22162918.0,8,operating,0,25.0,2001.0
Exosite,Enterprise Software,USA,725375.0,3,operating,0,17.0,2009.0
Exosome Diagnostics,Biotechnology,USA,66083973.0,4,operating,0,18.0,2008.0
Exostat Medical,Health Care,USA,2430200.0,2,operating,0,18.0,2008.0
Expa,Curated Web,USA,50000000.0,1,operating,0,13.0,2013.0
Expan,Information Services,USA,1200000.0,2,operating,0,16.0,2010.0
Expand Beyond,Mobile,USA,16560000.0,3,acquired,0,26.0,2000.0
Expandly,E-Commerce,GBR,248693.0,2,operating,0,13.0,2013.0
Expansion Capital Group,Finance Technology,USA,37100000.0,4,operating,0,13.0,2013.0
Expediciones.mx,Travel,Unknown,40000.0,1,operating,0,14.0,2012.0
Expensas Online,Building Owners,ARG,137000.0,4,operating,0,12.0,2014.0
ExpenseBot,B2B,USA,1051000.0,6,operating,0,13.0,2013.0
Expensify,Enterprise Software,USA,27200000.0,4,operating,0,18.0,2008.0
Experenti,Android,USA,700000.0,1,operating,0,12.0,2014.0
Experfy,Analytics,USA,1500000.0,1,operating,0,12.0,2014.0
Experience Headphones,Digital Media,CAN,85000.0,3,operating,0,13.0,2013.0
"Experience, Inc.",Curated Web,USA,4400000.0,1,operating,0,30.0,1996.0
Kanjoya,Analytics,USA,13523540.0,6,operating,0,20.0,2006.0
Experifun,Education,IND,335000.0,2,operating,0,14.0,2012.0
Experiment,Crowdfunding,USA,1230000.0,4,operating,0,14.0,2012.0
Experiment Engine,Internet,USA,1000000.0,1,operating,0,12.0,2014.0
Expert,Automotive,USA,221250.0,1,operating,0,26.0,2000.0
Expert Cave,Freelancers,Unknown,700000.0,1,operating,0,13.0,2013.0
Expert Dynamics,Software,ISR,450000.0,1,acquired,0,23.0,2003.0
Expert Networks,Software,USA,2327337.0,2,operating,0,45.0,1981.0
Expert Planet,Consulting,USA,750000.0,2,operating,0,18.0,2008.0
Expert TA,Education,USA,400000.0,1,operating,0,17.0,2009.0
Expert360,Consulting,AUS,5099999.0,2,operating,0,14.0,2012.0
ExpertBeacon,Advertising,Unknown,1350000.0,2,operating,0,16.0,2010.0
ExpertBids.com,Consulting,USA,20000.0,1,operating,0,16.0,2010.0
ExpertFile,Advertising,CAN,2975000.0,4,operating,0,14.0,2012.0
ExpertFlyer,Travel,USA,30000.0,1,operating,0,22.0,2004.0
Experticity,Corporate Training,USA,18700001.0,2,operating,0,21.0,2005.0
Experts 911,Cloud Computing,JOR,162000.0,2,operating,0,15.0,2011.0
Expibotz Technologies,Electronics,IND,40016.0,2,operating,0,14.0,2012.0
"Expii, Inc.",Crowdsourcing,USA,1310000.0,1,operating,0,12.0,2014.0
Explain Everything,Software,USA,2000000.0,1,operating,0,16.0,2010.0
Explara,Event Management,IND,486433.0,4,operating,0,18.0,2008.0
ExploraMed,Health Care,USA,55499998.0,4,operating,0,31.0,1995.0
Explore Campaign Finance,Finance,USA,15172.0,1,operating,0,11.0,2015.0
Explore Engage,Advertising,AUS,200000.0,1,operating,0,16.0,2010.0
Explore.To Yellow Pages,Local Search,USA,50000.0,1,closed,1,0.0,2010.0
Exploretrip,Travel,USA,432500.0,1,operating,0,18.0,2008.0
Exploride,Automotive,USA,596301.0,2,operating,0,12.0,2014.0
Explorra,Social Network Media,USA,250000.0,1,operating,0,17.0,2009.0
Explorys,Analytics,USA,14050000.0,2,acquired,0,17.0,2009.0
EXPO Communications,Curated Web,USA,650000.0,2,operating,0,22.0,2004.0
Exponential Entertainment,Consumer Internet,USA,1464200.0,1,operating,0,19.0,2007.0
ExpoPromoter,Curated Web,GBR,1000000.0,1,operating,0,19.0,2007.0
Exposed Vocals,Music,USA,250000.0,1,operating,0,15.0,2011.0
EXPO,Curated Web,USA,6000000.0,2,operating,0,22.0,2004.0
Expreem,iPhone,USA,100000.0,1,operating,0,16.0,2010.0
Express In Music,Advertising,SGP,478048.780487805,1,operating,0,17.0,2009.0
Express Inn Hotel,Real Estate,USA,50000.0,1,operating,0,18.0,2008.0
Express Laundromat and Dry Cleaning,Clean Technology,CAN,1000.0,1,operating,0,13.0,2013.0
Express Oil Group,Energy,USA,37400612.0,1,operating,0,16.0,2010.0
eXpresso,Cloud Data Services,USA,2000000.0,1,operating,0,27.0,1999.0
expressor software,Big Data Analytics,USA,29050000.0,4,acquired,0,19.0,2007.0
Expway,Telecommunications,FRA,3300000.0,1,operating,0,26.0,2000.0
ExRo Technologies,Clean Technology,CAN,300000.0,1,operating,0,20.0,2006.0
ExSafe,Cloud Computing,IRL,1200000.0,1,closed,1,2.0,2006.0
Extem,Biotechnology,USA,50000.0,2,operating,0,12.0,2014.0
Extend Labs,Biotechnology,USA,3125000.0,2,operating,0,14.0,2012.0
Extend Media,Software,USA,33200000.0,3,acquired,0,35.0,1991.0
ExtendCredit.com,Software,USA,863400.0,1,operating,0,17.0,2009.0
Extended Care Information Network,Enterprises,USA,16000000.0,3,acquired,0,31.0,1995.0
"ZypMedia, Inc.",Advertising Platforms,USA,4424998.0,1,operating,0,13.0,2013.0
ExteNet Systems,Web Hosting,USA,155900000.0,2,operating,0,23.0,2003.0
Extension Entertainment,Curated Web,USA,2750000.0,3,acquired,0,16.0,2010.0
Externautics,Biotechnology,ITA,3890000.0,1,operating,0,19.0,2007.0
Extole,Internet Marketing,USA,19000000.0,2,operating,0,13.0,2013.0
Extra Life,Games,Unknown,3809607.0,1,operating,0,18.0,2008.0
ExTractApps,Software,USA,167500.0,1,closed,1,1.0,2009.0
ExtraFootie,Media,BEL,411150.0,1,operating,0,19.0,2007.0
ExtraHop Networks,Enterprise Software,USA,60100000.0,3,operating,0,19.0,2007.0
ExtraOrtho,Biotechnology,USA,3620185.0,1,operating,0,19.0,2007.0
Extraprise,Consulting,USA,5100000.0,1,operating,0,29.0,1997.0
extraTKT,Android,Unknown,50000.0,1,closed,1,0.0,2010.0
Extreme DA,Software,USA,7380000.0,1,acquired,0,23.0,2003.0
Extreme Enterprises,Design,USA,1455000.0,8,closed,1,2.0,2007.0
Extreme Fliers,Hardware + Software,GBR,740000.0,1,operating,0,19.0,2007.0
Extreme Reach,Advertising,USA,204632382.0,9,operating,0,19.0,2007.0
Extreme Startups,Software,CAN,8800000.0,2,closed,1,1.0,2012.0
Extreme Reality,3D,ISR,18000000.0,2,operating,0,21.0,2005.0
ExtremeScapes of Central Texas,Consumers,USA,15500.0,1,operating,0,13.0,2013.0
exurbe cosmetics,Beauty,CHE,200000.0,1,operating,0,13.0,2013.0
Exuru!,Curated Web,GBR,150000.0,1,closed,1,0.0,2011.0
eYantra Industries,Software,IND,7500000.0,1,operating,0,25.0,2001.0
EYE,Messaging,Unknown,136315.0,1,operating,0,12.0,2014.0
Eye-Fi,Cloud Computing,USA,36500000.0,4,operating,0,21.0,2005.0
Eye-Pharma,Biotechnology,USA,145500.0,1,operating,0,13.0,2013.0
Eye-Q,Health and Wellness,IND,14000000.0,2,operating,0,19.0,2007.0
Eyeball,Information Services,CAN,1000000.0,1,operating,0,13.0,2013.0
Eyecast,Design,USA,30000000.0,1,operating,0,28.0,1998.0
EyeEm,Android,Unknown,24000000.0,3,operating,0,15.0,2011.0
EYEFITU,Apps,CHE,2750000.0,2,operating,0,14.0,2012.0
Eyefluence,Augmented Reality,USA,21600000.0,2,operating,0,13.0,2013.0
EyeFormatics,Health Care,USA,275000.0,1,operating,0,18.0,2008.0
Eyefreight,Logistics,USA,12284118.0,1,operating,0,17.0,2009.0
EyeGate Pharmaceuticals,Biotechnology,USA,58443814.0,9,ipo,0,28.0,1998.0
Eyegroove,Mobile,USA,3550000.0,3,operating,0,13.0,2013.0
EyeJot,Messaging,USA,1150000.0,2,operating,0,19.0,2007.0
eYeka,Brand Marketing,FRA,9340000.0,6,operating,0,20.0,2006.0
Eyelation,Software,USA,1300000.0,1,operating,0,17.0,2009.0
EyeLock,Information Technology,USA,3000000.0,1,operating,0,20.0,2006.0
Eyenalyze,Finance,USA,421000.0,2,operating,0,17.0,2009.0
EyeNetra,Biotechnology,USA,7000000.0,3,operating,0,15.0,2011.0
Eyeona,Consumers,USA,2000000.0,1,closed,1,0.0,2011.0
Eyepic,Apps,Unknown,400000.0,1,operating,0,14.0,2012.0
eyeQ,Human Computer Interaction,USA,1200000.0,2,operating,0,14.0,2012.0
EyeQuant,Advertising,DEU,643300.0,1,operating,0,17.0,2009.0
EyesBot,Software,USA,40000.0,1,operating,0,13.0,2013.0
EyeScience,Health and Wellness,USA,1150080.0,3,operating,0,19.0,2007.0
iScribes,Health Care,USA,400000.0,2,operating,0,12.0,2014.0
eyesFinder,Software,USA,520000.0,1,operating,0,13.0,2013.0
EyeSight Mobile Technologies,Software,ISR,10900000.0,2,operating,0,21.0,2005.0
EyeSpot,Software,USA,3700000.0,1,acquired,0,21.0,2005.0
EyeTechCare,Health Care,Unknown,13053000.0,1,operating,0,20.0,2006.0
Eyetel Imaging,Medical,USA,10670000.0,1,acquired,0,30.0,1996.0
eyetok,Apps,ESP,50000.0,1,operating,0,13.0,2013.0
EyeVerify,Biometrics,USA,10424729.0,4,operating,0,14.0,2012.0
Eyeview,Advertising,USA,35350000.0,5,operating,0,19.0,2007.0
Eyewitness Surveillance,Hardware + Software,USA,15000000.0,2,operating,0,23.0,2003.0
Eyewiz,Hotels,USA,141800.0,6,operating,0,12.0,2014.0
EyeYon,Health Care,ISR,6600000.0,3,operating,0,15.0,2011.0
EYWA MEDIA,Ad Targeting,SGP,1150000.0,2,operating,0,13.0,2013.0
EZ-Apps,Apps,USA,650000.0,1,operating,0,22.0,2004.0
EZ LIFT Rescue Systems,Hardware + Software,USA,316539.0,1,operating,0,15.0,2011.0
eZ Systems,Content,NOR,15698768.0,3,operating,0,27.0,1999.0
EZ Wheel,Innovation Engineering,FRA,5592632.0,1,operating,0,17.0,2009.0
EZ4U,Software,PRT,40000.0,1,operating,0,16.0,2010.0
Ezakus,Ad Targeting,USA,8576699.0,2,operating,0,15.0,2011.0
e-Zassi,Collaboration,USA,1000000.0,1,operating,0,18.0,2008.0
ezCater,Curated Web,USA,34790000.0,5,operating,0,19.0,2007.0
EZChip,Semiconductors,USA,12116716.0,3,acquired,0,27.0,1999.0
EZDOCTOR,Consumer Internet,USA,2500000.0,1,operating,0,13.0,2013.0
Ezeecube,Internet,HKG,246691.0,2,operating,0,13.0,2013.0
ezeep,Cloud Computing,DEU,675150.0,4,closed,1,4.0,2010.0
Ezetap,Mobile,IND,35000000.0,4,operating,0,15.0,2011.0
eziCONEX,Android,GBR,500000.0,1,operating,0,14.0,2012.0
EzLike,Advertising,BRA,100000.0,1,acquired,0,14.0,2012.0
EZMove,E-Commerce,IND,165000.0,1,operating,0,13.0,2013.0
ezNetPay,Software,USA,1000000.0,1,operating,0,21.0,2005.0
Ezoic,Mobile,USA,5600000.0,1,operating,0,16.0,2010.0
eZono,Health Care,DEU,10000000.0,1,operating,0,22.0,2004.0
EZprints.com,E-Commerce,USA,8000000.0,1,operating,0,28.0,1998.0
Ezra Innovations,Biotechnology,USA,6280600.0,2,operating,0,18.0,2008.0
EZTABLE,Restaurants,TWN,5000000.0,1,operating,0,18.0,2008.0
Ezuza,E-Commerce,USA,2616521.0,5,operating,0,19.0,2007.0
EzyInsights,Social Media,FIN,780511.0,1,operating,0,14.0,2012.0
F.8 Interactive,Brand Marketing,USA,150000.0,1,operating,0,19.0,2007.0
"F.J,Roberts Publishing",Babies,USA,9424.0,1,operating,0,30.0,1996.0
F-Origin,Software,USA,13185060.0,6,operating,0,21.0,2005.0
F-star Biotechnology Limited,Biotechnology,GBR,57247405.7105523,6,operating,0,20.0,2006.0
F2G,Biotechnology,GBR,41741755.9205785,2,operating,0,28.0,1998.0
F3 Foods,E-Commerce,USA,50000.0,1,operating,0,14.0,2012.0
f4samurai,Games,JPN,99310.0,2,operating,0,16.0,2010.0
F50,Investment Management,USA,2000000.0,1,operating,0,12.0,2014.0
FAASOS,Food Processing,IND,20000000.0,2,operating,0,15.0,2011.0
FAB BAG,Beauty,IND,500000.0,1,closed,1,1.0,2012.0
Fab Solutions Company,Semiconductor Manufacturing Equipment,JPN,1600000.0,1,operating,0,24.0,2002.0
Fabbeo,3D Printing,DEU,64758.0,1,operating,0,14.0,2012.0
Fabelio,Furniture,IDN,500000.0,1,operating,0,11.0,2015.0
Fab'entech,Health Care,FRA,4128628.0,1,operating,0,17.0,2009.0
FabFitFun,Curated Web,USA,3500000.0,1,acquired,0,16.0,2010.0
Fabhotels,Hospitality,Unknown,5000000.0,1,closed,1,0.0,2015.0
Fabkids,E-Commerce,USA,2600000.0,1,acquired,0,14.0,2012.0
Fabler Comics,Comics,USA,163748.0,1,operating,0,17.0,2009.0
Fablic,Apps,JPN,9150000.0,1,operating,0,14.0,2012.0
Fabric7 Systems,Web Hosting,USA,32340000.0,2,operating,0,24.0,2002.0
Fabricly,E-Commerce,USA,400000.0,1,closed,1,0.0,2010.0
fabrik,File Sharing,USA,51300000.0,4,acquired,0,21.0,2005.0
Fabrika Online,Games,RUS,7000000.0,1,closed,1,5.0,2008.0
FabriQate,Internet,GBR,20000.0,2,operating,0,18.0,2008.0
fabrooms,Design,DEU,100000.0,1,operating,0,13.0,2013.0
FabTask,Collaborative Consumption,USA,10000.0,1,operating,0,12.0,2014.0
FABtotum,Hardware + Software,ITA,351000.0,1,operating,0,15.0,2011.0
Fabule,Hardware + Software,CAN,175000.0,3,operating,0,13.0,2013.0
Fabulyzer,Health and Wellness,ESP,80952.0,2,operating,0,12.0,2014.0
FabZat,Games,FRA,1400000.0,2,operating,0,13.0,2013.0
Face.com,Photography,ISR,5300000.0,3,acquired,0,21.0,2005.0
Face to Face Live,Mobile,USA,250000.0,1,operating,0,20.0,2006.0
FaceBuzz,Messaging,Unknown,130000.0,1,operating,0,16.0,2010.0
FaceFirst (Airborne Biometrics),Software,USA,2136552.0,3,operating,0,19.0,2007.0
FACEIT,Internet,GBR,2000000.0,1,operating,0,14.0,2012.0
FaceOn Mobile,Mobile,USA,102400.0,1,operating,0,15.0,2011.0
faceshift,Broadcasting,CHE,700000.0,1,acquired,0,14.0,2012.0
Facet Decision Systems,Clean Energy,CAN,1507645.0,1,operating,0,35.0,1991.0
Facio,Big Data,USA,300000.0,2,operating,0,15.0,2011.0
Facities,Entertainment,USA,500000.0,2,operating,0,13.0,2013.0
Factabase,Analytics,ARE,500000.0,1,operating,0,18.0,2008.0
Factery,Curated Web,USA,1200000.0,1,closed,1,0.0,2009.0
FactiCo,Gps,MEX,20228.0,1,operating,0,12.0,2014.0
Factom,Information Technology,USA,1540000.0,3,operating,0,12.0,2014.0
FACTON,Software,DEU,4376255.0,2,operating,0,28.0,1998.0
Factonomy,Software,GBR,2072000.0,2,operating,0,23.0,2003.0
Factor.io,Software,USA,145000.0,2,operating,0,14.0,2012.0
Factorli,Manufacturing,USA,10000000.0,1,operating,0,12.0,2014.0
Factory Logic,Software,USA,8000000.0,1,acquired,0,33.0,1993.0
Factory Media Limited,Bicycles,GBR,6821772.0,1,acquired,0,20.0,2006.0
Factual,Databases,USA,27000000.0,3,operating,0,19.0,2007.0
FACTURAMA INC,Accounting,Unknown,217000.0,2,operating,0,14.0,2012.0
Faculte,EdTech,USA,2998932.0,1,operating,0,19.0,2007.0
Fadello,Logistics,NLD,236286.0,1,operating,0,12.0,2014.0
FAGUO,Mobile,FRA,1920000.0,1,operating,0,18.0,2008.0
FailGo Solutions,Advertising,Unknown,1578.0,1,operating,0,11.0,2015.0
Fair Observer,Analytics,USA,60000.0,1,operating,0,15.0,2011.0
Faira,Real Estate,USA,1530000.0,2,operating,0,11.0,2015.0
Faircent,Financial Services,IND,4250000.0,3,operating,0,13.0,2013.0
FairFly,Online Travel,USA,2000000.0,2,closed,1,2.0,2013.0
Fairphone,Hardware + Software,NLD,10085811.5475585,2,operating,0,16.0,2010.0
FairPoint Communications,Public Relations,USA,13300000.0,1,ipo,0,35.0,1991.0
FairSoftware,Collaboration,USA,100000.0,1,closed,1,0.0,2007.0
Fairwaves,Mobile,USA,510000.0,1,operating,0,12.0,2014.0
FaisonsAffaire.com,Business Services,Unknown,466306.0,1,operating,0,18.0,2008.0
Faithful to Nature,Renewable Energies,ZAF,800000.0,1,operating,0,19.0,2007.0
FaithStreet,Finance,USA,1100000.0,2,operating,0,16.0,2010.0
"Falafel Games - Mezzabites Technologies Co., Ltd",Games,HKG,2100000.0,1,operating,0,16.0,2010.0
Falco Resources,Real Estate,CAN,5100000.0,1,operating,0,14.0,2012.0
Falcon Social,Enterprises,DNK,23719600.0,2,operating,0,16.0,2010.0
Falkon,Big Data,USA,100000.0,1,operating,0,11.0,2015.0
Fallbrook Technologies,Auto,USA,145287897.0,8,operating,0,28.0,1998.0
Fallound,Mobile Social,Unknown,10000.0,1,operating,0,12.0,2014.0
FameBit,Advertising,USA,1500000.0,2,operating,0,12.0,2014.0
FameCast,Artists Globally,USA,9700000.0,3,closed,1,3.0,2007.0
Starcount,Curated Web,GBR,7464266.0,1,operating,0,16.0,2010.0
Famely,Media,CZE,19252.0,1,operating,0,12.0,2014.0
Famigo,Mobile,USA,2020000.0,3,operating,0,16.0,2010.0
FamiHero,Internet,FRA,4091429.0,1,operating,0,15.0,2011.0
Familiar,Photography,USA,1300000.0,2,acquired,0,15.0,2011.0
Familink,Education,USA,273272.0,3,operating,0,14.0,2012.0
Family Archival Solutions,Curated Web,USA,150000.0,2,operating,0,13.0,2013.0
Family Connect,Social Media,IRL,18200.0,1,operating,0,12.0,2014.0
Family Fish Farms Network,Manufacturing,USA,700000.0,1,operating,0,14.0,2012.0
Family HealthCare Network,Nonprofits,USA,726694.0,1,operating,0,50.0,1976.0
Family Housing Investments,Real Estate,USA,40000.0,1,operating,0,17.0,2009.0
Family-Mingle,Curated Web,Unknown,100000.0,1,operating,0,18.0,2008.0
Family Nation,Hospitality,ITA,64330.0,1,operating,0,15.0,2011.0
Family Pet,Pets,Unknown,2000000.0,1,operating,0,14.0,2012.0
Family Sky,E-Commerce,LVA,520000.0,2,operating,0,13.0,2013.0
Family Traveller,Publishing,GBR,1167106.0,1,operating,0,13.0,2013.0
Familybuilder,Social Network Media,USA,1807716.0,3,acquired,0,19.0,2007.0
FamilyFinds,Curated Web,USA,5750000.0,1,closed,1,0.0,2010.0
FamilyID,E-Commerce,USA,1000000.0,2,operating,0,16.0,2010.0
FamilyLeaf,Social Media,USA,984000.0,2,acquired,0,14.0,2012.0
FamilyLink,Networking,USA,3650000.0,2,operating,0,20.0,2006.0
Familytic,Social Media,DEU,12000.0,1,operating,0,15.0,2011.0
Famo.us,Android,USA,30210000.0,4,operating,0,15.0,2011.0
FAMOCO,Hardware + Software,FRA,5445135.0,2,operating,0,16.0,2010.0
Famous Industries,Consumer Goods,USA,4000000.0,1,operating,0,53.0,1973.0
FanBoom,Curated Web,USA,10000.0,1,closed,1,1.0,2007.0
Fan-Me,Games,USA,1500.0,1,operating,0,16.0,2010.0
Fan Media Network,Entertainment,USA,395358.0,1,operating,0,19.0,2007.0
Fan Wars,Entertainment,USA,430000.0,1,operating,0,12.0,2014.0
Fan Appz,Mobile,USA,25000.0,1,closed,1,3.0,2010.0
Fanarchy Limited,Curated Web,Unknown,18885.0,1,closed,1,1.0,2011.0
fanatix,Mobile,GBR,3500000.0,4,operating,0,15.0,2011.0
Fanattac,Entertainment,USA,1000000.0,1,operating,0,15.0,2011.0
Fanbase,Curated Web,USA,5000000.0,1,operating,0,17.0,2009.0
fanbook Inc.,Advertising,JPN,106778.0,1,operating,0,15.0,2011.0
FanBread,Content Discovery,USA,2693006.0,2,operating,0,12.0,2014.0
FanBridge,Brand Marketing,USA,2350000.0,2,operating,0,20.0,2006.0
FanChatter,Software,USA,20000.0,1,operating,0,19.0,2007.0
Fanchimp,E-Commerce,CHL,94583.0,2,operating,0,14.0,2012.0
Fancloud,Location Based Services,USA,217000.0,2,operating,0,15.0,2011.0
FanCONNECT,Loyalty Programs,USA,500000.0,1,operating,0,13.0,2013.0
Fancorps,Brand Marketing,USA,100000.0,1,operating,0,21.0,2005.0
Fancred,Apps,USA,5118000.0,4,operating,0,14.0,2012.0
Fancy,Curated Web,USA,124400000.0,7,operating,0,17.0,2009.0
FancyBox,Beauty,CHL,2192936.0,3,operating,0,14.0,2012.0
FANCY CELLAR - 品庄酒,E-Commerce,CHN,150000.0,3,operating,0,13.0,2013.0
Fandango,Entertainment,USA,15300000.0,1,acquired,0,26.0,2000.0
Ampsy,Analytics,USA,2200000.0,4,operating,0,13.0,2013.0
Fandeavor,Sports,USA,525000.0,1,operating,0,15.0,2011.0
FanDistro,Music Services,USA,700000.0,1,operating,0,15.0,2011.0
Fandor,Entertainment,USA,7000000.0,1,operating,0,17.0,2009.0
Fanear,Music,BRA,113800.0,4,operating,0,12.0,2014.0
The Fanfare Group,Enterprise Software,USA,34085228.0,4,acquired,0,22.0,2004.0
Fanfou.com,Mobile,CHN,1515151.0,1,operating,0,19.0,2007.0
FanFound,Entertainment,USA,500000.0,1,closed,1,0.0,2011.0
FanFueled,Advertising,USA,1125000.0,3,operating,0,16.0,2010.0
FangDD,Internet,Unknown,1000000.0,1,closed,1,0.0,2012.0
Fangtek,Manufacturing,USA,26000000.0,4,operating,0,23.0,2003.0
FangTooth Studios,Application Platforms,Unknown,157500.0,1,operating,0,14.0,2012.0
Fangxinmei,Mobile,Unknown,658978.0,1,operating,0,13.0,2013.0
Fanhuan.com,Web Development,CHN,1000000.0,1,operating,0,18.0,2008.0
FanIQ,Sports,Unknown,1008401.0,3,operating,0,20.0,2006.0
Fanitics,Games,USA,25000.0,1,closed,1,3.0,2010.0
FanKave,Demographies,USA,954964.0,1,operating,0,13.0,2013.0
Fanli,Curated Web,CHN,30000000.0,3,operating,0,20.0,2006.0
FanLib,Internet,USA,3000000.0,1,acquired,0,20.0,2006.0
Fanly,Apps,USA,325000.0,2,operating,0,12.0,2014.0
Fanminder,Advertising,USA,1000000.0,1,operating,0,18.0,2008.0
Fanmode,Services,IRL,2400000.0,1,operating,0,14.0,2012.0
Fannabee,Collectibles,ITA,53000.0,2,operating,0,13.0,2013.0
Fanpage,Social Network Media,USA,250000.0,1,operating,0,12.0,2014.0
Fanpics,Apps,USA,5723447.0,3,operating,0,13.0,2013.0
Fanpictor,Sports,CHE,1900000.0,1,operating,0,14.0,2012.0
Fanplayr,Ad Targeting,USA,2500000.0,3,operating,0,13.0,2013.0
FANPOINT,Advertising,POL,161987.0,1,operating,0,16.0,2010.0
Fanzy,Advertising,USA,1500000.0,4,operating,0,15.0,2011.0
FanReact,Social Media,USA,350000.0,1,operating,0,13.0,2013.0
Fanshout,Consumers,USA,45000.0,1,operating,0,13.0,2013.0
FanSnap,Concerts,USA,15700000.0,3,closed,1,2.0,2007.0
Fanstreamm,Mobile,USA,60000.0,2,operating,0,12.0,2014.0
FansUnite,Crowdsourcing,CAN,241935.0,1,operating,0,14.0,2012.0
Fanswell,Entertainment Industry,USA,600000.0,2,operating,0,13.0,2013.0
Fanta-Z Holdings,Entertainment,USA,2704995.0,2,operating,0,17.0,2009.0
Fantasmo Studios,Games,Unknown,228000.0,2,operating,0,12.0,2014.0
Fantastec,Educational Games,FIN,800000.0,1,operating,0,17.0,2009.0
Fantasy Buzzer,Fantasy Sports,USA,385000.0,1,operating,0,14.0,2012.0
Fantasy Feud,Fantasy Sports,CAN,1014597.0,1,operating,0,15.0,2011.0
Fantasy Shopper,Fashion,GBR,3563271.0,2,operating,0,16.0,2010.0
FantasyHub,Games,USA,278000.0,4,operating,0,13.0,2013.0
FantasySalesTeam,Curated Web,USA,1390750.0,3,acquired,0,14.0,2012.0
Fantazzle Fantasy Sports Games,Fantasy Sports,USA,352239.0,2,operating,0,18.0,2008.0
Fantex,Finance,USA,50999999.0,3,operating,0,14.0,2012.0
Fantom,Brand Marketing,IRL,640020.0,2,operating,0,17.0,2009.0
Fantoo,Email,GBR,1606357.0,2,operating,0,14.0,2012.0
FanTrail,Android,USA,500000.0,1,closed,1,1.0,2010.0
FanTree,E-Commerce,USA,678750.0,4,operating,0,14.0,2012.0
Fantrotter,Curated Web,USA,50000.0,2,operating,0,13.0,2013.0
Fan TV,Consumer Electronics,USA,8393798.0,1,acquired,0,16.0,2010.0
Fanwards,Gamification,ARG,65000.0,2,closed,1,1.0,2011.0
FanXchange,Concerts,CAN,9900000.0,4,operating,0,17.0,2009.0
FanXT,Digital Media,MYS,330000.0,1,operating,0,16.0,2010.0
Fanzila,Apps,ISR,1000000.0,2,operating,0,21.0,2005.0
Fanzo,Games,USA,1330000.0,3,operating,0,14.0,2012.0
FanZone,Entertainment,ISR,5500000.0,2,operating,0,12.0,2014.0
Fanzter,Software,USA,4000000.0,2,closed,1,2.0,2007.0
FAPL,Fashion,USA,1000000.0,1,closed,1,0.0,2015.0
Fara,E-Commerce,USA,1052500.0,2,operating,0,15.0,2011.0
Faraday,Clean Energy,USA,2630000.0,3,operating,0,14.0,2012.0
Faraday Bicycles,Bicycles,USA,3077268.0,4,operating,0,14.0,2012.0
Faralong.com,Information Technology,EST,552254.0,1,operating,0,11.0,2015.0
Farb Guidance Systems Inc,Farming,Unknown,200000.0,2,operating,0,11.0,2015.0
Farecast,Finance,USA,20600000.0,3,acquired,0,23.0,2003.0
FareHarbor,Online Reservations,USA,110000.0,1,operating,0,13.0,2013.0
Farehelper,Public Transportation,USA,10000.0,1,operating,0,16.0,2010.0
Farelogix,Travel,USA,6000000.0,1,operating,0,28.0,1998.0
Fareness,Travel & Tourism,Unknown,250000.0,1,operating,0,11.0,2015.0
FareWell,Fitness,Unknown,2000000.0,1,operating,0,11.0,2015.0
Fareye,Internet,IND,329023.0,1,operating,0,18.0,2008.0
Farfetch,E-Commerce,GBR,194500000.0,5,operating,0,18.0,2008.0
Fariqak,Fantasy Sports,USA,82353.0,1,operating,0,13.0,2013.0
Farm At Hand,Agriculture,CAN,1400000.0,2,operating,0,14.0,2012.0
Farm Dog,Agriculture,ISR,750000.0,1,operating,0,11.0,2015.0
Farm Hill,Restaurants,USA,1000000.0,1,operating,0,13.0,2013.0
FarmaciaClub,E-Commerce,ESP,390360.0,1,operating,0,14.0,2012.0
farmaciamarket,E-Commerce,ESP,778432.0,1,operating,0,14.0,2012.0
Farmacias Inteligentes 24,Medical,MEX,50000.0,1,operating,0,13.0,2013.0
Farman,Biotechnology,ITA,514640.0,1,operating,0,18.0,2008.0
farmbuy,Advertising,NOR,1600000.0,1,operating,0,17.0,2009.0
FarmDrop,Collaboration,GBR,1264179.0,2,operating,0,14.0,2012.0
Farmeron,Agriculture,USA,4065000.0,5,operating,0,16.0,2010.0
Farmers Business Network,Agriculture,USA,23900000.0,3,operating,0,12.0,2014.0
FarmersWeb,E-Commerce,USA,1000000.0,1,operating,0,15.0,2011.0
farmflo,Agriculture,Unknown,92862.0,1,operating,0,14.0,2012.0
farmhopping,Collaborative Consumption,GBR,201759.572088518,5,operating,0,14.0,2012.0
Farmia,Agriculture,BGR,253001.514421969,4,operating,0,13.0,2013.0
Farmigo,Consumer Goods,USA,26000000.0,3,operating,0,17.0,2009.0
